num_item_id,definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
158,étoile,word,outside,0.01,0,0,0,0.12,0.14,0.24,0.31,0.42,0.6,0.5,0.5,0.62,0.74,0.66
159,fleur,word,outside,0.04,0.04,0,0.73,0.38,0.52,0.59,0.54,0.69,0.86,0.72,0.81,0.94,0.97,1
160,herbe,word,outside,0.03,0,0,0.18,0.12,0.09,0.24,0.27,0.27,0.43,0.31,0.5,0.74,0.71,0.76
161,jardin,word,outside,0.01,0.04,0,0.09,0.08,0.14,0.27,0.23,0.23,0.48,0.41,0.38,0.71,0.83,0.69
162,lune,word,outside,0.01,0.04,0,0.27,0.2,0.32,0.44,0.41,0.52,0.74,0.62,0.69,0.79,0.89,0.9
163,neige,word,outside,0.01,0,0,0.18,0.25,0.3,0.32,0.25,0.45,0.55,0.66,0.65,0.76,0.83,0.79
164,nuage,word,outside,0.01,0,0,0.09,0.08,0.12,0.32,0.37,0.37,0.57,0.5,0.58,0.68,0.91,0.72
165,pelle,word,outside,0,0,0,0.18,0.2,0.2,0.22,0.2,0.46,0.64,0.5,0.54,0.68,0.8,0.76
166,pierre,word,outside,0.01,0,0,0,0.15,0.02,0.1,0.15,0.17,0.33,0.19,0.35,0.41,0.51,0.62
167,piscine,word,outside,0.01,0.04,0,0.18,0.12,0.21,0.32,0.34,0.46,0.69,0.5,0.58,0.82,0.89,0.83
168,pluie,word,outside,0.01,0.08,0,0.36,0.22,0.34,0.59,0.41,0.56,0.71,0.75,0.81,0.91,0.86,0.9
169,rocher,word,outside,0.01,0,0,0,0,0,0,0.07,0.04,0.05,0.06,0.08,0.09,0.11,0.21
170,rue,word,outside,0.01,0,0,0.09,0.05,0,0.12,0.27,0.27,0.33,0.44,0.38,0.62,0.77,0.62
171,soleil,word,outside,0.01,0.04,0,0.27,0.22,0.21,0.39,0.45,0.5,0.76,0.56,0.69,0.85,0.91,0.79
172,toboggan,word,outside,0.01,0.04,0,0.45,0.18,0.34,0.39,0.38,0.52,0.69,0.53,0.58,0.76,0.91,0.79
173,toit,word,outside,0.03,0,0,0,0,0.02,0.1,0.08,0.08,0.26,0.22,0.23,0.44,0.49,0.41
174,tondeuse à gazon,word,outside,0,0,0,0,0.05,0.07,0.1,0.08,0.09,0.29,0.16,0.08,0.32,0.4,0.21
175,trottoir,word,outside,0.01,0,0,0.09,0,0.07,0.05,0.14,0.14,0.26,0.22,0.31,0.44,0.74,0.48
176,tuyau,word,outside,0,0,0,0,0.05,0,0.1,0.13,0.15,0.24,0.19,0.15,0.29,0.46,0.41
177,vent,word,outside,0.01,0.04,0,0.36,0.2,0.29,0.39,0.3,0.4,0.67,0.53,0.54,0.82,0.91,0.72
178,campagne,word,places,0,0,0,0,0,0.04,0,0.03,0.08,0.17,0.12,0.12,0.12,0.26,0.38
179,camping,word,places,0,0.04,0,0,0,0.02,0,0,0.02,0,0,0,0.03,0.06,0.1
180,centre-ville,word,places,0,0,0,0,0,0.02,0,0,0.03,0,0,0,0.03,0.09,0.17
181,cinéma,word,places,0,0.04,0,0,0.02,0.04,0,0.07,0.03,0.02,0.03,0.04,0.18,0.09,0.24
182,cirque,word,places,0.01,0.04,0,0.09,0,0.09,0.1,0.07,0.06,0.12,0.16,0.19,0.21,0.29,0.31
183,cour,word,places,0,0,0,0,0.02,0.09,0.1,0.17,0.13,0.14,0.06,0.15,0.21,0.31,0.38
184,crèche,word,places,0.04,0,0,0,0.12,0.18,0.17,0.28,0.28,0.43,0.28,0.31,0.35,0.54,0.59
185,dehors,word,places,0.03,0.08,0,0.55,0.38,0.38,0.46,0.42,0.62,0.67,0.72,0.73,0.91,0.89,0.93
186,école,word,places,0.03,0.04,0,0.09,0.18,0.21,0.27,0.28,0.41,0.6,0.47,0.69,0.85,0.77,0.86
187,église,word,places,0.01,0,0,0.18,0,0.02,0.02,0.07,0.08,0.07,0.12,0.19,0.18,0.14,0.21
188,ferme,word,places,0,0,0,0,0.08,0.04,0.12,0.1,0.12,0.19,0.28,0.15,0.26,0.4,0.34
189,fête,word,places,0.01,0,0,0,0.02,0.09,0.07,0.08,0.1,0.26,0.19,0.23,0.38,0.4,0.45
190,forêt,word,places,0.01,0.04,0,0,0,0,0,0.04,0.07,0.12,0.22,0.23,0.29,0.43,0.45
191,garderie,word,places,0,0.04,0,0.18,0,0.05,0.1,0.13,0.15,0.12,0.12,0.15,0.24,0.23,0.24
192,magasin,word,places,0.01,0.08,0,0.18,0.05,0.09,0.22,0.24,0.31,0.43,0.28,0.38,0.53,0.74,0.62
193,maison,word,places,0.07,0.12,0,0.55,0.4,0.39,0.59,0.56,0.62,0.86,0.78,0.85,0.91,0.97,0.86
